nama_barang,kategori,status,keterangan
"Makanan serbuk/bubuk","makanan","dilarang","Makanan dalam bentuk serbuk atau bubuk tidak diperbolehkan"
"Mie instan","makanan","dilarang","Tidak diperbolehkan masuk"
"Rokok","makanan","dilarang","Tidak diperbolehkan dibawa"
"Kacang kulit","makanan","dilarang","Tidak diperbolehkan masuk"
"Kacang atom","makanan","dilarang","Tidak diperbolehkan masuk"
"Rambak","makanan","dilarang","Tidak diperbolehkan masuk"
"Roti","makanan","dilarang","Tidak diperbolehkan masuk"
"Bumbu pecel","makanan","dilarang","Tidak diperbolehkan masuk"
"Permen","makanan","dilarang","Tidak diperbolehkan masuk"
"Makanan berongga","makanan","dilarang","Tidak diperbolehkan masuk"
"Cumi-cumi utuh","makanan","dilarang","Tidak diperbolehkan masuk"
"Serundeng","makanan","dilarang","Tidak diperbolehkan masuk"
"Sambal","makanan","dilarang","Tidak diperbolehkan masuk"
"Perkedel","makanan","dilarang","Tidak diperbolehkan masuk"
"Tahu","makanan","dilarang","Tidak diperbolehkan masuk"
"Pentol","makanan","dilarang","Tidak diperbolehkan masuk"
"Bakso","makanan","dilarang","Tidak diperbolehkan masuk"
"Gorengan","makanan","dilarang","Tidak diperbolehkan masuk"
"Cabe","makanan","dilarang","Tidak diperbolehkan masuk"
"Bawang","makanan","dilarang","Tidak diperbolehkan masuk"
"Bumbu masakan","makanan","dilarang","Tidak diperbolehkan masuk"
"Masakan berkuah","makanan","dilarang","Tidak diperbolehkan masuk"
"Semua minuman","minuman","dilarang","Seluruh jenis minuman tidak diperbolehkan"
"Parfum","barang","dilarang","Tidak diperbolehkan dibawa"
"Roll on","barang","dilarang","Tidak diperbolehkan dibawa"
"Sikat gigi","barang","dilarang","Perlengkapan mandi tidak diperbolehkan"
"Sabun cuci","barang","dilarang","Tidak diperbolehkan dibawa"
"Pasta gigi","barang","dilarang","Tidak diperbolehkan dibawa"
"Kemasan kaca","barang","dilarang","Tidak diperbolehkan dibawa"
"Kaleng","barang","dilarang","Tidak diperbolehkan dibawa"
"Sachet","barang","dilarang","Tidak diperbolehkan dibawa"
"Kasur","barang","dilarang","Tidak diperbolehkan dibawa"
"Pakaian lebih dari 2 potong","barang","dilarang","Maksimal 2 potong, jeans dan topi dilarang"
"Narkoba","barang","dilarang","Barang terlarang keras"
"Senpi","barang","dilarang","Senjata api dilarang"
"Sajam","barang","dilarang","Senjata tajam dilarang"
"HP","barang","dilarang","Tidak diperbolehkan dibawa"
"Barang elektronik","barang","dilarang","Tidak diperbolehkan dibawa"
